Tick 339(338), Delay 40 ms, IGT 00:16.851, RTA 00:16.765-00:16.805
Tick 340(339), Delay 43 ms, IGT 00:16.901, RTA 00:16.805-00:16.848
Tick 341(340), Delay 57 ms, IGT 00:16.951, RTA 00:16.848-00:16.905
Tick 344(343), Delay 59 ms, IGT 00:17.101, RTA 00:17.003-00:17.062
Tick 345(344), Delay 39 ms, IGT 00:17.151, RTA 00:17.062-00:17.101
Tick 348(347), Delay 55 ms, IGT 00:17.301, RTA 00:17.199-00:17.254
Tick 352(351), Delay 45 ms, IGT 00:17.501, RTA 00:17.406-00:17.451
Tick 353(352), Delay 72 ms, IGT 00:17.551, RTA 00:17.451-00:17.523
Tick 354(353), Delay 37 ms, IGT 00:17.601, RTA 00:17.523-00:17.560
Tick 355(354), Delay 39 ms, IGT 00:17.651, RTA 00:17.560-00:17.599
Tick 358(357), Delay 66 ms, IGT 00:17.801, RTA 00:17.703-00:17.769
Tick 360(359), Delay 37 ms, IGT 00:17.901, RTA 00:17.815-00:17.852
Tick 365(364), Delay 62 ms, IGT 00:18.151, RTA 00:18.054-00:18.116
Tick 366(365), Delay 35 ms, IGT 00:18.201, RTA 00:18.116-00:18.151
Tick 367(366), Delay 61 ms, IGT 00:18.251, RTA 00:18.151-00:18.212
Tick 369(368), Delay 45 ms, IGT 00:18.351, RTA 00:18.258-00:18.303
Tick 370(369), Delay 57 ms, IGT 00:18.401, RTA 00:18.303-00:18.360
Tick 371(370), Delay 44 ms, IGT 00:18.451, RTA 00:18.360-00:18.404
Tick 377(376), Delay 42 ms, IGT 00:18.751, RTA 00:18.662-00:18.704
Tick 378(377), Delay 69 ms, IGT 00:18.801, RTA 00:18.704-00:18.773
Tick 379(378), Delay 34 ms, IGT 00:18.851, RTA 00:18.773-00:18.807
Tick 380(379), Delay 60 ms, IGT 00:18.901, RTA 00:18.807-00:18.867
Tick 381(380), Delay 34 ms, IGT 00:18.951, RTA 00:18.867-00:18.901
Tick 384(383), Delay 62 ms, IGT 00:19.101, RTA 00:19.004-00:19.066
Tick 385(384), Delay 34 ms, IGT 00:19.151, RTA 00:19.066-00:19.100
Tick 388(387), Delay 62 ms, IGT 00:19.301, RTA 00:19.200-00:19.262
Tick 390(389), Delay 45 ms, IGT 00:19.401, RTA 00:19.308-00:19.353
Tick 393(392), Delay 43 ms, IGT 00:19.551, RTA 00:19.456-00:19.499
Tick 394(393), Delay 61 ms, IGT 00:19.601, RTA 00:19.499-00:19.560
Tick 395(394), Delay 43 ms, IGT 00:19.651, RTA 00:19.560-00:19.603
Tick 397(396), Delay 55 ms, IGT 00:19.751, RTA 00:19.654-00:19.709
Tick 398(397), Delay 42 ms, IGT 00:19.801, RTA 00:19.709-00:19.751
Tick 406(405), Delay 57 ms, IGT 00:20.201, RTA 00:20.107-00:20.164
Tick 407(406), Delay 40 ms, IGT 00:20.251, RTA 00:20.164-00:20.204
Tick 409(408), Delay 66 ms, IGT 00:20.351, RTA 00:20.254-00:20.320
Tick 410(409), Delay 45 ms, IGT 00:20.401, RTA 00:20.320-00:20.365
Tick 411(410), Delay 33 ms, IGT 00:20.451, RTA 00:20.365-00:20.398
Tick 417(416), Delay 92 ms, IGT 00:20.751, RTA 00:20.651-00:20.743
Tick 418(417), Delay 41 ms, IGT 00:20.801, RTA 00:20.743-00:20.784
Tick 419(418), Delay 33 ms, IGT 00:20.851, RTA 00:20.784-00:20.817
Tick 420(419), Delay 35 ms, IGT 00:20.901, RTA 00:20.817-00:20.852
Tick 422(421), Delay 44 ms, IGT 00:21.001, RTA 00:20.905-00:20.949
Tick 424(423), Delay 59 ms, IGT 00:21.101, RTA 00:20.999-00:21.058
Tick 427(426), Delay 56 ms, IGT 00:21.251, RTA 00:21.155-00:21.211
Tick 428(427), Delay 43 ms, IGT 00:21.301, RTA 00:21.211-00:21.254
Tick 430(429), Delay 60 ms, IGT 00:21.401, RTA 00:21.302-00:21.362
Tick 431(430), Delay 37 ms, IGT 00:21.451, RTA 00:21.362-00:21.399
Tick 441(440), Delay 61 ms, IGT 00:21.951, RTA 00:21.849-00:21.910
Tick 442(441), Delay 38 ms, IGT 00:22.001, RTA 00:21.910-00:21.948
Tick 443(442), Delay 59 ms, IGT 00:22.051, RTA 00:21.948-00:22.007
Tick 444(443), Delay 42 ms, IGT 00:22.101, RTA 00:22.007-00:22.049
Tick 445(444), Delay 56 ms, IGT 00:22.151, RTA 00:22.049-00:22.105
Tick 446(445), Delay 44 ms, IGT 00:22.201, RTA 00:22.105-00:22.149
Tick 447(446), Delay 60 ms, IGT 00:22.251, RTA 00:22.149-00:22.209
Tick 448(447), Delay 44 ms, IGT 00:22.301, RTA 00:22.209-00:22.253
Tick 451(450), Delay 62 ms, IGT 00:22.451, RTA 00:22.349-00:22.411
Tick 452(451), Delay 37 ms, IGT 00:22.501, RTA 00:22.411-00:22.448
Tick 458(457), Delay 45 ms, IGT 00:22.801, RTA 00:22.706-00:22.751
Tick 459(458), Delay 56 ms, IGT 00:22.851, RTA 00:22.751-00:22.807
Tick 460(459), Delay 56 ms, IGT 00:22.901, RTA 00:22.807-00:22.863
Tick 461(460), Delay 38 ms, IGT 00:22.951, RTA 00:22.863-00:22.901
Tick 463(462), Delay 61 ms, IGT 00:23.051, RTA 00:22.951-00:23.012
Tick 465(464), Delay 38 ms, IGT 00:23.151, RTA 00:23.062-00:23.100
Tick 466(465), Delay 65 ms, IGT 00:23.201, RTA 00:23.100-00:23.165
Tick 467(466), Delay 32 ms, IGT 00:23.251, RTA 00:23.165-00:23.197
Tick 472(471), Delay 60 ms, IGT 00:23.501, RTA 00:23.402-00:23.462
Tick 473(472), Delay 37 ms, IGT 00:23.551, RTA 00:23.462-00:23.499
Tick 475(474), Delay 62 ms, IGT 00:23.651, RTA 00:23.548-00:23.610
Tick 476(475), Delay 38 ms, IGT 00:23.701, RTA 00:23.610-00:23.648
Tick 477(476), Delay 55 ms, IGT 00:23.751, RTA 00:23.648-00:23.703
Tick 481(480), Delay 56 ms, IGT 00:23.951, RTA 00:23.848-00:23.904
Tick 483(482), Delay 63 ms, IGT 00:24.051, RTA 00:23.955-00:24.018
Tick 484(483), Delay 42 ms, IGT 00:24.101, RTA 00:24.018-00:24.060
Tick 485(484), Delay 56 ms, IGT 00:24.151, RTA 00:24.060-00:24.116
Tick 487(486), Delay 40 ms, IGT 00:24.251, RTA 00:24.168-00:24.208
Tick 489(488), Delay 39 ms, IGT 00:24.351, RTA 00:24.262-00:24.301
Tick 494(493), Delay 59 ms, IGT 00:24.601, RTA 00:24.497-00:24.556
Tick 495(494), Delay 56 ms, IGT 00:24.651, RTA 00:24.556-00:24.612
Tick 498(497), Delay 41 ms, IGT 00:24.801, RTA 00:24.714-00:24.755
Tick 500(499), Delay 59 ms, IGT 00:24.901, RTA 00:24.802-00:24.861
Tick 501(500), Delay 38 ms, IGT 00:24.951, RTA 00:24.861-00:24.899
Tick 502(501), Delay 67 ms, IGT 00:25.001, RTA 00:24.899-00:24.966
Tick 503(502), Delay 45 ms, IGT 00:25.051, RTA 00:24.966-00:25.011
Tick 505(504), Delay 37 ms, IGT 00:25.151, RTA 00:25.064-00:25.101
Tick 508(507), Delay 58 ms, IGT 00:25.301, RTA 00:25.204-00:25.262
Tick 509(508), Delay 44 ms, IGT 00:25.351, RTA 00:25.262-00:25.306
Tick 513(512), Delay 60 ms, IGT 00:25.551, RTA 00:25.455-00:25.515
Tick 515(514), Delay 41 ms, IGT 00:25.651, RTA 00:25.569-00:25.610
Tick 516(515), Delay 41 ms, IGT 00:25.701, RTA 00:25.610-00:25.651
Tick 518(517), Delay 70 ms, IGT 00:25.801, RTA 00:25.704-00:25.774
Tick 519(518), Delay 43 ms, IGT 00:25.851, RTA 00:25.774-00:25.817
Tick 520(519), Delay 41 ms, IGT 00:25.901, RTA 00:25.817-00:25.858
Tick 521(520), Delay 41 ms, IGT 00:25.951, RTA 00:25.858-00:25.899
Tick 534(533), Delay 41 ms, IGT 00:26.601, RTA 00:26.508-00:26.549
Tick 535(534), Delay 55 ms, IGT 00:26.651, RTA 00:26.549-00:26.604
Tick 536(535), Delay 45 ms, IGT 00:26.701, RTA 00:26.604-00:26.649
Tick 542(541), Delay 41 ms, IGT 00:27.001, RTA 00:26.906-00:26.947
Tick 543(542), Delay 55 ms, IGT 00:27.051, RTA 00:26.947-00:27.002
Tick 544(543), Delay 60 ms, IGT 00:27.101, RTA 00:27.002-00:27.062
Tick 545(544), Delay 37 ms, IGT 00:27.151, RTA 00:27.062-00:27.099
Tick 546(545), Delay 58 ms, IGT 00:27.201, RTA 00:27.099-00:27.157
Tick 547(546), Delay 42 ms, IGT 00:27.251, RTA 00:27.157-00:27.199
Tick 549(548), Delay 55 ms, IGT 00:27.351, RTA 00:27.248-00:27.303
Tick 553(552), Delay 56 ms, IGT 00:27.551, RTA 00:27.449-00:27.505
Tick 554(553), Delay 45 ms, IGT 00:27.601, RTA 00:27.505-00:27.550
Tick 555(554), Delay 56 ms, IGT 00:27.651, RTA 00:27.550-00:27.606
Tick 556(555), Delay 43 ms, IGT 00:27.701, RTA 00:27.606-00:27.649
Tick 558(557), Delay 56 ms, IGT 00:27.801, RTA 00:27.697-00:27.753
Tick 567(566), Delay 45 ms, IGT 00:28.251, RTA 00:28.159-00:28.204
Tick 568(567), Delay 60 ms, IGT 00:28.301, RTA 00:28.204-00:28.264
Tick 569(568), Delay 43 ms, IGT 00:28.351, RTA 00:28.264-00:28.307
Tick 570(569), Delay 55 ms, IGT 00:28.401, RTA 00:28.307-00:28.362
Tick 572(571), Delay 56 ms, IGT 00:28.501, RTA 00:28.410-00:28.466
Tick 573(572), Delay 84 ms, IGT 00:28.551, RTA 00:28.466-00:28.550
Tick 574(573), Delay 3 ms, IGT 00:28.601, RTA 00:28.550-00:28.553
Tick 575(574), Delay 55 ms, IGT 00:28.651, RTA 00:28.553-00:28.608
Tick 577(576), Delay 36 ms, IGT 00:28.751, RTA 00:28.662-00:28.698
Tick 581(580), Delay 44 ms, IGT 00:28.951, RTA 00:28.854-00:28.898
Tick 584(583), Delay 57 ms, IGT 00:29.101, RTA 00:29.002-00:29.059
Tick 586(585), Delay 55 ms, IGT 00:29.201, RTA 00:29.107-00:29.162
Tick 587(586), Delay 42 ms, IGT 00:29.251, RTA 00:29.162-00:29.204
Tick 588(587), Delay 44 ms, IGT 00:29.301, RTA 00:29.204-00:29.248
Tick 589(588), Delay 57 ms, IGT 00:29.351, RTA 00:29.248-00:29.305
Tick 590(589), Delay 43 ms, IGT 00:29.401, RTA 00:29.305-00:29.348
Tick 598(597), Delay 56 ms, IGT 00:29.801, RTA 00:29.697-00:29.753
Tick 601(600), Delay 43 ms, IGT 00:29.951, RTA 00:29.855-00:29.898
Tick 602(601), Delay 58 ms, IGT 00:30.001, RTA 00:29.898-00:29.956
Tick 603(602), Delay 43 ms, IGT 00:30.051, RTA 00:29.956-00:29.999
Tick 604(603), Delay 55 ms, IGT 00:30.101, RTA 00:29.999-00:30.054
Tick 605(604), Delay 45 ms, IGT 00:30.151, RTA 00:30.054-00:30.099
Tick 609(608), Delay 62 ms, IGT 00:30.351, RTA 00:30.248-00:30.310
Tick 610(609), Delay 42 ms, IGT 00:30.401, RTA 00:30.310-00:30.352
Tick 613(612), Delay 45 ms, IGT 00:30.551, RTA 00:30.454-00:30.499
Tick 621(620), Delay 57 ms, IGT 00:30.951, RTA 00:30.848-00:30.905
Tick 622(621), Delay 44 ms, IGT 00:31.001, RTA 00:30.905-00:30.949
Tick 623(622), Delay 56 ms, IGT 00:31.051, RTA 00:30.949-00:31.005
Tick 625(624), Delay 55 ms, IGT 00:31.151, RTA 00:31.056-00:31.111
Tick 626(625), Delay 42 ms, IGT 00:31.201, RTA 00:31.111-00:31.153
Tick 633(632), Delay 42 ms, IGT 00:31.551, RTA 00:31.455-00:31.497
Tick 634(633), Delay 56 ms, IGT 00:31.601, RTA 00:31.497-00:31.553
Tick 658(657), Delay 56 ms, IGT 00:32.801, RTA 00:32.700-00:32.756
Tick 676(675), Delay 55 ms, IGT 00:33.701, RTA 00:33.599-00:33.654
Tick 680(679), Delay 43 ms, IGT 00:33.901, RTA 00:33.806-00:33.849
Tick 685(684), Delay 55 ms, IGT 00:34.151, RTA 00:34.050-00:34.105
Tick 686(685), Delay 44 ms, IGT 00:34.201, RTA 00:34.105-00:34.149
Tick 690(689), Delay 55 ms, IGT 00:34.401, RTA 00:34.299-00:34.354
Tick 691(690), Delay 44 ms, IGT 00:34.451, RTA 00:34.354-00:34.398
Tick 700(699), Delay 45 ms, IGT 00:34.901, RTA 00:34.804-00:34.849
Tick 702(701), Delay 56 ms, IGT 00:35.001, RTA 00:34.897-00:34.953
Tick 706(705), Delay 55 ms, IGT 00:35.201, RTA 00:35.098-00:35.153
Tick 708(707), Delay 44 ms, IGT 00:35.301, RTA 00:35.203-00:35.247
Tick 710(709), Delay 56 ms, IGT 00:35.401, RTA 00:35.301-00:35.357
Tick 713(712), Delay 44 ms, IGT 00:35.551, RTA 00:35.456-00:35.500
Tick 717(716), Delay 60 ms, IGT 00:35.751, RTA 00:35.647-00:35.707
Tick 728(727), Delay 55 ms, IGT 00:36.301, RTA 00:36.198-00:36.253
Tick 739(738), Delay 43 ms, IGT 00:36.851, RTA 00:36.754-00:36.797
Tick 741(740), Delay 60 ms, IGT 00:36.951, RTA 00:36.847-00:36.907
Tick 743(742), Delay 42 ms, IGT 00:37.051, RTA 00:36.961-00:37.003
Tick 746(745), Delay 45 ms, IGT 00:37.201, RTA 00:37.103-00:37.148
Tick 762(761), Delay 55 ms, IGT 00:38.001, RTA 00:37.902-00:37.957
Tick 764(763), Delay 42 ms, IGT 00:38.101, RTA 00:38.005-00:38.047
Tick 767(766), Delay 45 ms, IGT 00:38.251, RTA 00:38.152-00:38.197
Tick 768(767), Delay 58 ms, IGT 00:38.301, RTA 00:38.197-00:38.255
Tick 773(772), Delay 44 ms, IGT 00:38.551, RTA 00:38.454-00:38.498
Tick 777(776), Delay 43 ms, IGT 00:38.751, RTA 00:38.654-00:38.697
Tick 787(786), Delay 45 ms, IGT 00:39.251, RTA 00:39.152-00:39.197
Tick 788(787), Delay 58 ms, IGT 00:39.301, RTA 00:39.197-00:39.255
Tick 791(790), Delay 45 ms, IGT 00:39.451, RTA 00:39.356-00:39.401
Tick 800(799), Delay 56 ms, IGT 00:39.901, RTA 00:39.801-00:39.857
Tick 801(800), Delay 44 ms, IGT 00:39.951, RTA 00:39.857-00:39.901
Tick 804(803), Delay 55 ms, IGT 00:40.101, RTA 00:39.999-00:40.054
