Tick 11484(11481), Delay 1884 ms, IGT 09:34.049, RTA 12:41.665-12:43.549
Tick 11591(11588), Delay 1018 ms, IGT 09:39.399, RTA 12:48.847-12:49.865
Tick 11605(11602), Delay 4434 ms, IGT 09:40.099, RTA 12:50.515-12:54.949
Tick 11861(11858), Delay 918 ms, IGT 09:52.899, RTA 13:07.698-13:08.616
Tick 11869(11866), Delay 6566 ms, IGT 09:53.299, RTA 13:08.965-13:15.531
Tick 11986(11983), Delay 5086 ms, IGT 09:59.149, RTA 13:21.330-13:26.416
Tick 12157(12154), Delay 1567 ms, IGT 10:07.699, RTA 13:34.914-13:36.481
Tick 12358(12355), Delay 14299 ms, IGT 10:17.749, RTA 13:46.482-14:00.781
Tick 12896(12893), Delay 1549 ms, IGT 10:44.649, RTA 14:27.633-14:29.182
Tick 12919(12916), Delay 584 ms, IGT 10:45.799, RTA 14:30.283-14:30.867
Tick 12929(12926), Delay 2317 ms, IGT 10:46.299, RTA 14:31.316-14:33.633
Tick 15252(15249), Delay 2868 ms, IGT 12:42.449, RTA 16:29.734-16:32.602
Tick 15279(15276), Delay 2818 ms, IGT 12:43.799, RTA 16:33.900-16:36.718
Tick 16366(16363), Delay 1967 ms, IGT 13:38.149, RTA 17:31.018-17:32.985
Tick 16874(16871), Delay 700 ms, IGT 14:03.549, RTA 17:58.335-17:59.035
Tick 16901(16898), Delay 230756 ms, IGT 14:04.899, RTA 18:00.334-21:51.090
Tick 16969(16966), Delay 66 ms, IGT 14:08.299, RTA 21:54.439-21:54.505
Tick 16971(16968), Delay 33 ms, IGT 14:08.399, RTA 21:54.556-21:54.589
Tick 16980(16977), Delay 66 ms, IGT 14:08.849, RTA 21:54.989-21:55.055
Tick 16981(16978), Delay 34 ms, IGT 14:08.899, RTA 21:55.055-21:55.089
Tick 16991(16988), Delay 66 ms, IGT 14:09.399, RTA 21:55.539-21:55.605
Tick 16992(16989), Delay 34 ms, IGT 14:09.449, RTA 21:55.605-21:55.639
Tick 17009(17006), Delay 65 ms, IGT 14:10.299, RTA 21:56.440-21:56.505
Tick 17010(17007), Delay 34 ms, IGT 14:10.349, RTA 21:56.505-21:56.539
Tick 17025(17022), Delay 65 ms, IGT 14:11.099, RTA 21:57.240-21:57.305
Tick 17030(17027), Delay 33 ms, IGT 14:11.349, RTA 21:57.506-21:57.539
Tick 17093(17090), Delay 66 ms, IGT 14:14.499, RTA 22:00.639-22:00.705
Tick 17094(17091), Delay 34 ms, IGT 14:14.549, RTA 22:00.705-22:00.739
Tick 17109(17106), Delay 66 ms, IGT 14:15.299, RTA 22:01.439-22:01.505
Tick 17110(17107), Delay 34 ms, IGT 14:15.349, RTA 22:01.505-22:01.539
Tick 17311(17308), Delay 65 ms, IGT 14:25.399, RTA 22:11.542-22:11.607
Tick 17312(17309), Delay 32 ms, IGT 14:25.449, RTA 22:11.607-22:11.639
Tick 20460(20457), Delay 584 ms, IGT 17:02.849, RTA 24:48.994-24:49.578
Tick 20470(20467), Delay 1101 ms, IGT 17:03.349, RTA 24:50.028-24:51.129
Tick 20480(20477), Delay 615 ms, IGT 17:03.849, RTA 24:51.578-24:52.193
Tick 20486(20483), Delay 1200 ms, IGT 17:04.149, RTA 24:52.445-24:53.645
Tick 20672(20669), Delay 8350 ms, IGT 17:13.449, RTA 25:02.895-25:11.245
Tick 21201(21198), Delay 320 ms, IGT 17:39.899, RTA 25:37.645-25:37.965
