Tick 315(314), Delay 59 ms, IGT 00:15.652, RTA 00:15.566-00:15.625
Tick 316(315), Delay 45 ms, IGT 00:15.702, RTA 00:15.625-00:15.670
Tick 319(318), Delay 45 ms, IGT 00:15.852, RTA 00:15.773-00:15.818
Tick 320(319), Delay 58 ms, IGT 00:15.902, RTA 00:15.818-00:15.876
Tick 321(320), Delay 44 ms, IGT 00:15.952, RTA 00:15.876-00:15.920
Tick 323(322), Delay 40 ms, IGT 00:16.052, RTA 00:15.971-00:16.011
Tick 325(324), Delay 73 ms, IGT 00:16.152, RTA 00:16.059-00:16.132
Tick 326(325), Delay 37 ms, IGT 00:16.202, RTA 00:16.132-00:16.169
Tick 327(326), Delay 61 ms, IGT 00:16.252, RTA 00:16.169-00:16.230
Tick 328(327), Delay 36 ms, IGT 00:16.302, RTA 00:16.230-00:16.266
Tick 333(332), Delay 55 ms, IGT 00:16.552, RTA 00:16.460-00:16.515
Tick 335(334), Delay 56 ms, IGT 00:16.652, RTA 00:16.564-00:16.620
Tick 336(335), Delay 44 ms, IGT 00:16.702, RTA 00:16.620-00:16.664
Tick 339(338), Delay 55 ms, IGT 00:16.852, RTA 00:16.760-00:16.815
Tick 343(342), Delay 63 ms, IGT 00:17.052, RTA 00:16.966-00:17.029
Tick 344(343), Delay 42 ms, IGT 00:17.102, RTA 00:17.029-00:17.071
Tick 346(345), Delay 45 ms, IGT 00:17.202, RTA 00:17.117-00:17.162
Tick 347(346), Delay 70 ms, IGT 00:17.252, RTA 00:17.162-00:17.232
Tick 348(347), Delay 40 ms, IGT 00:17.302, RTA 00:17.232-00:17.272
Tick 350(349), Delay 41 ms, IGT 00:17.402, RTA 00:17.325-00:17.366
Tick 356(355), Delay 45 ms, IGT 00:17.702, RTA 00:17.617-00:17.662
Tick 357(356), Delay 70 ms, IGT 00:17.752, RTA 00:17.662-00:17.732
Tick 358(357), Delay 40 ms, IGT 00:17.802, RTA 00:17.732-00:17.772
Tick 360(359), Delay 45 ms, IGT 00:17.902, RTA 00:17.818-00:17.863
Tick 361(360), Delay 58 ms, IGT 00:17.952, RTA 00:17.863-00:17.921
Tick 370(369), Delay 94 ms, IGT 00:18.402, RTA 00:18.312-00:18.406
Tick 371(370), Delay 16 ms, IGT 00:18.452, RTA 00:18.406-00:18.422
Tick 372(371), Delay 42 ms, IGT 00:18.502, RTA 00:18.422-00:18.464
Tick 373(372), Delay 55 ms, IGT 00:18.552, RTA 00:18.464-00:18.519
Tick 376(375), Delay 41 ms, IGT 00:18.702, RTA 00:18.618-00:18.659
Tick 377(376), Delay 60 ms, IGT 00:18.752, RTA 00:18.659-00:18.719
Tick 378(377), Delay 45 ms, IGT 00:18.802, RTA 00:18.719-00:18.764
Tick 383(382), Delay 43 ms, IGT 00:19.052, RTA 00:18.970-00:19.013
Tick 385(384), Delay 58 ms, IGT 00:19.152, RTA 00:19.067-00:19.125
Tick 386(385), Delay 44 ms, IGT 00:19.202, RTA 00:19.125-00:19.169
Tick 387(386), Delay 67 ms, IGT 00:19.252, RTA 00:19.169-00:19.236
Tick 388(387), Delay 27 ms, IGT 00:19.302, RTA 00:19.236-00:19.263
Tick 391(390), Delay 56 ms, IGT 00:19.452, RTA 00:19.362-00:19.418
Tick 392(391), Delay 44 ms, IGT 00:19.502, RTA 00:19.418-00:19.462
Tick 397(396), Delay 58 ms, IGT 00:19.752, RTA 00:19.665-00:19.723
Tick 399(398), Delay 58 ms, IGT 00:19.852, RTA 00:19.775-00:19.833
Tick 400(399), Delay 43 ms, IGT 00:19.902, RTA 00:19.833-00:19.876
Tick 403(402), Delay 40 ms, IGT 00:20.052, RTA 00:19.974-00:20.014
Tick 404(403), Delay 61 ms, IGT 00:20.102, RTA 00:20.014-00:20.075
Tick 407(406), Delay 43 ms, IGT 00:20.252, RTA 00:20.172-00:20.215
Tick 408(407), Delay 45 ms, IGT 00:20.302, RTA 00:20.215-00:20.260
Tick 409(408), Delay 58 ms, IGT 00:20.352, RTA 00:20.260-00:20.318
Tick 411(410), Delay 42 ms, IGT 00:20.452, RTA 00:20.371-00:20.413
Tick 417(416), Delay 63 ms, IGT 00:20.752, RTA 00:20.662-00:20.725
Tick 418(417), Delay 44 ms, IGT 00:20.802, RTA 00:20.725-00:20.769
Tick 420(419), Delay 57 ms, IGT 00:20.902, RTA 00:20.817-00:20.874
Tick 421(420), Delay 40 ms, IGT 00:20.952, RTA 00:20.874-00:20.914
Tick 422(421), Delay 63 ms, IGT 00:21.002, RTA 00:20.914-00:20.977
Tick 423(422), Delay 39 ms, IGT 00:21.052, RTA 00:20.977-00:21.016
Tick 426(425), Delay 43 ms, IGT 00:21.202, RTA 00:21.119-00:21.162
Tick 429(428), Delay 55 ms, IGT 00:21.352, RTA 00:21.264-00:21.319
Tick 437(436), Delay 44 ms, IGT 00:21.752, RTA 00:21.667-00:21.711
Tick 438(437), Delay 55 ms, IGT 00:21.802, RTA 00:21.711-00:21.766
Tick 440(439), Delay 60 ms, IGT 00:21.902, RTA 00:21.812-00:21.872
Tick 445(444), Delay 41 ms, IGT 00:22.152, RTA 00:22.073-00:22.114
Tick 446(445), Delay 71 ms, IGT 00:22.202, RTA 00:22.114-00:22.185
Tick 447(446), Delay 44 ms, IGT 00:22.252, RTA 00:22.185-00:22.229
